,Date,User,Tweet
0,2020-06-09 18:15:12+00:00,kareem3278,"Dadis Of #ShaheenaBagh ❤

Dont forget the #CAA #NRC #NPR Movement

Dont Forget Shaheen Bagh #BraveWomens

Dont Forget #DelhiRiots

Dont Forget #kafeelkhan Is Under Arrest

Like we forget #Kashmir #Najeeb &amp; #Rohitvemula😢

@IndianMuslimahs @FekuExpresss @vishj05 @Mahatma_2Gandhi"
1,2020-06-09 18:02:34+00:00,shahcastic,Na #CAA Roll back hoga aur na hi #fleets Roll back hoga.
2,2020-06-09 17:18:59+00:00,XxmotegixX,I'm a little pissed off at the moment with @CAA @CAASCO_News for not notifying me that my #CAA roadside assistance was cancelled. The phone operator Nancy was absolutely useless and rude. Any other roadside assistance in Atlantic Canada that doesnt treat people like shit?
3,2020-06-09 15:57:49+00:00,chanchaluniqe11,#CAA wasn't just an act ...  it is an opener act for hindus .... open your eyes guys . Today they  are just 21% .. #wakeuphindu #wakeup #SaveMewatiHindu
4,2020-06-09 09:16:32+00:00,KarnavD,"People from outside of #Delhi will occupy all beds and it will be difficult for Delhi citizens to get treatment for COVID-19. Hence, Non-Delhi residents are not allowed. says Hon'ble CM of Delhi.

This is a good example for why #CAA &amp; #NRC are needed."
5,2020-06-09 03:57:43+00:00,utkarsh_rajjj,"Entire Nation stands with Shri @AmitShah. Historic decisions taken under his leadership 
Article 370,
Triple talaq,
J&amp;K UT,
Ram Mandir,
Citizen amendment act,
AND
Many more to come
#NRC #UCC
#IndiaWithAmitShah"
6,2020-06-09 02:59:19+00:00,NationalistKM,"Those opposing CAA are saying that if the Muslim accused of the Delhi riots are not released, Shaheen Bagh will be built again.
I say do not even try now.
क्योंकि अभी तो कुछ नही किया अमित शाह ने.
अब ""पिछवाडे में झाडू डालके,मोर बना देंगे"".
😂
#TuesdayThoughts #CAA"
7,2020-06-09 02:58:28+00:00,SiyaramshrmaBms,"Entire Nation stands with Shri @AmitShah. Historic decisions taken under his leadership 
Article 370,
Triple talaq,
J&amp;K UT,
Ram Mandir,
Citizen amendment act,
AND
Many more to come
#NRC #UCC
#IndiaWithAmitShah"
8,2020-06-08 22:28:16+00:00,SanataniBharti,#isupportkapilmishra. How can Kafir stand upon Allah propehcy of Gazwa E Hind. Like we Did in Kasmir.. kil lakhs of hindus..this is only fault of @KapilMishra_IND. He stood firm on jihadis.But listen jihadis we hindus are with them. जो ukadna है उखाड़ लो.#CAA #370 #Rammandir
9,2020-06-08 19:18:18+00:00,abdulra42034973,"The #bjp government that has resources to test 70years old records for each #Indian for #NRC/#NPR,now says its impossible to do #COVID__19 testing for the 130 cr #people. Can any #bjp leader answer this question @narendramodi @NIA_India @DesiStupides @BJP4India @Javedakhtarjadu"
10,2020-06-08 18:23:00+00:00,shilpareddy0604,"Australian fire trumped by #CAA-trumped by #COVID-trumped by #migrantcrisis in India n #blm all over🌍.Every issue gets overwritten by another cos theres always another bigger,badder one.Ppl flock to new issues,so “leaders” wait 4 d nxt issue2sweep current issues under d rug👏👏"
