Date,User,Tweet
2017-04-29 15:27:14+00:00,rakesh16,"This year iam standing too much in a #queue first for #jio,second for #demonetization and now for the tickets of #Bahubali2."
2017-04-29 13:06:05+00:00,surjithpraveen,#urjitpatel Made a PSU consolidation statement and NPA statement which nobody asked for. He dint gave #demonetization STAT yet
2017-04-29 07:08:34+00:00,Ronaldk47480811,Share your views about #demonetization #pros and #cons
2017-04-29 07:05:41+00:00,nrcvp2,"No one wants to know why Modi Ji did #Demonetization, but the entire Nation is interested in knowing why #Kattappa killed #Bahubali 😂😂😂"
2017-04-29 05:53:39+00:00,ArthurPrem,It was claimed that #demonetization would prevent terrorist funding but the claim failed miserably with increase in terrorists'  activities
2017-04-29 03:35:39+00:00,gupta1993ankur,"Have we seen any reformist measures by ruling #BJP Govt.!
#demonetization was one but I guess it failed terribly
(1/3)"
2017-04-28 17:32:04+00:00,lisa_antao,"In this digital era, I think restaurants who only accept cash​ are up to no good #demonetization #money"
2017-04-28 17:28:45+00:00,lisa_antao,"In this age of digital payment, I get suspicious of restaurants that don't accept cards #Digital #demonetization #restaurants #money"
2017-04-28 15:38:06+00:00,KiranKS,"Reliance Industries shares have risen 40% since #demonetization!!
ITC, HDFC, HDFC Bank and L&amp;T are the other 4 in top 5 of Bombay Sensex."
2017-04-28 11:47:23+00:00,hum_bolega,Stone pelting vanished post #demonetization. Now looting banks as happened in Anantnag to generate new cash.Get the arrested terrorist sing.
2017-04-28 11:12:36+00:00,kumar_sumit,"MCD 10 yrs, India 3 yrs &amp; people are fed up with a 2 yr old ""Half-Govt"", Says the guy who believed Naxals were finished with #Demonetization"
2017-04-28 11:12:13+00:00,IshikPratik,"#Bahubali2 4km line for tickets of movie,nobody is dying now but during #demonetization lots of people died according to media.???🤔🤔🤔"
2017-04-28 11:02:15+00:00,dr_gct,"Now people have thousands of rupees to spend on movies #Bahubali2 
Remember the situation during #demonetization
Jai Ho..
Incredible India!"
2017-04-28 07:01:45+00:00,vigneshsathyam,The people who cried about long Qs infront of #demonetization are proudly posting pics and standing in Qs to get #Bahubali2 ticket
2017-04-28 06:54:57+00:00,RAHULSHYARA,"If its gov order to watch #bahubali2 as soon as possible than people start dying and what not #demonetization
#Bahubali2 #aapkichutti"
2017-04-28 06:19:37+00:00,biswajit0009,"I think the best solution to ongoing #sukmaattack or #KupwaraAttack, is one more #demonetization. 
This is only
Corporate chamchagiri"
2017-04-28 05:39:40+00:00,CrookBond_D,#Bahubali2 single handedly beat the #demonetization queues!!
2017-04-27 16:31:56+00:00,Soumitradas4Das,#PMJKY n #demonetization is total failure 4 @narendramodi. With @arunjaitley as #FM its bound 2 b. Devised soo many legal twists? ALL FREE?
2017-04-27 16:20:29+00:00,Made_InDelhi,"education, health , transport evrything is being expensive after #demonetization"
2017-04-27 16:20:25+00:00,dhejekees,#india is teaching lesson to all one by one who opposed #demonetization . #kejriwal was on top of list rest will follow @RealArnabG
2017-04-27 16:05:59+00:00,n_mahatma,#demonetization #deModitization #KupwaraAttack #sukmaattack #J&amp;K_Burnt #Nepali_Madhesi #NortheastBlockade #JNUazadi and so on..... Shame...
2017-04-27 14:26:41+00:00,Soumitradas4Das,Failure of #PMKVY post #demonetization of @narendramodi is because of corruption in #CBDT Kautilya said Tax from evaders need intelligence!
2017-04-27 14:17:10+00:00,mantralayatimes,.PMOIndia narendramodi makes it clear that his crusade against #corruption would continue and #demonetization was a step in this regard. …
2017-04-27 13:15:17+00:00,shusheel_Motu,"For #Baahubali2 ticket, length of line reminds me of #demonetization. Anyway i wil also be found in any of such line if cd not get it online"
2017-04-27 13:03:09+00:00,nils_aim,#demonetization only common man suffered
2017-04-27 11:50:11+00:00,dramalover4er,#SurgicalStrike taught Pakistan a lesson &amp; #demonetization ended terror funding for stone pelters &amp; naxalites! #KupwaraAttack #sukmaattack
2017-04-27 10:20:57+00:00,shoaibindia,"How #Kupwara  &amp; #Sukma  still taking place after #demonetization? 

Ban 2000 notes now @narendramodi"
2017-04-27 09:46:47+00:00,Md_Ishtiyaq_,People should buy #Bahubali2 tickets in Black. Means #Demonetization was fail @PMOIndia
2017-04-27 08:14:01+00:00,samirnewsmaker,another #TerroristAttack i guess gov n #bjp do not have face to show bec they said #demonetization ended #terrorism it was winter whch did
2017-04-27 08:13:32+00:00,JayKay074,"#SurgicalStrike and #Demonetization was supposed to finish terrorists, Naxals and their source of funding.

Hey MORONS what happened?"
2017-04-27 07:08:05+00:00,beingNitinJain,"Another #Demonetization possible to make Kashmir and Chhatosgarh , a peaceful area. Modo had said that Notebandi would end terror money"
2017-04-27 04:48:18+00:00,DewaaniLadki,"Effect of #demonetization, people believe on any rumour about currencies in market and currencies going out of market. #India"
2017-04-27 04:44:21+00:00,sanjivbhatt,"Days after the CRPF massacre, 3 Army Men, including an officer, killed in attack on Kupwara Camp.
#DeMonetization #SurgicalStrikes #Assholes"
2017-04-26 22:54:26+00:00,sabya_chirper,"Massive layoffs in ESPN, must be #demonetization 😃"
2017-04-26 15:16:05+00:00,lalit_parida007,Sensex crossed 30000 today and people were saying that there will be a collapse in the share market after #demonetization .
2017-04-26 10:36:14+00:00,vbghia,"Sensex crossed 30000 mark for the first time. What happened to the #Demonetization effect, @JhaSanjay"
2017-04-26 06:45:17+00:00,ShayoniGill,Did #Demonetization really chocked #Naxalism funding?? #SukmaSacrifice
2017-04-26 03:12:17+00:00,texabey,"Another claim of having neutralized Maos n Naxals thro #Demonetization has fallen flat.But PM knows how to make people believe bad, as good."
2017-04-26 02:57:20+00:00,Manju_Hegade,#Demonetization  Success / Fail? — feeling thoughtful
2017-04-25 16:11:32+00:00,indiatvnews,Last heard '#demonetization' was Govt's strategy to neutralize #Naxalism. Hope 'revised' strategy has more purpose &amp; impact: #RahulGandhi
2017-04-25 15:51:33+00:00,yesbeeyes,Didn't Naxals and Kashmiri separatists disappear after #Demonetization? Who is funding them now? Why the unrest in Sukma and Valley?
2017-04-25 09:13:04+00:00,investorclinic,"Contradictory to the general opinion, during #Demonetization the All India House Price Index #HPI increased by 2.3%, as per a RBI report."
2017-04-25 05:15:22+00:00,PiyushParashar,"Recall all the chest-thumping claims that #demonetization has broken the back of insurgents, Naxalites &amp; JK's separatists. REALLY? #Sukma"
2017-04-24 20:50:54+00:00,AniArondekar,Yesterrday I attended a talk by Anil Bokil on #Demonetization in Ratnagiri. During Q&amp;A he seemed 2b a person w/ fixed &amp; prejudiced mindset.
2017-04-24 17:10:39+00:00,bihari_bhaiya,#DeMonetization had finished the #Maoists explain how did the same Maoists kill 25 CRPF personnel in #Sukma in Chhattisgarh today?
2017-04-24 15:49:16+00:00,GirishAiyappa,Dear @TheOfficialSBI please fill ur ATM with some cash. We cannot afford to pay fr every transaction from other ATM's. #Demonetization#
2017-04-24 15:15:36+00:00,imsms80,Thought #Demonetization had killed off insurgency in #Chattisgarh ? Any answers now ? @sambitswaraj #Sukma #CRPF #SukmaEncounter
2017-04-24 13:55:04+00:00,Vidyut,"#Demonetization summary:

Black money?
Fake notes?
Stone pelting?
Naxalism?
How much demonetized money back?

No comment."
2017-04-24 01:15:58+00:00,urvijablahblah,That #BEST couldn't rid itself of #chillar even during #demonetization is enough proof of it's inefficiency (1/2)
2017-04-23 13:15:33+00:00,SanerVoice,India needs waves of #demonetization to make the country tax compliant.
2017-04-23 05:02:40+00:00,malhotramona,#Demonetization has led to #Delovetization
2017-04-22 13:49:14+00:00,Mr_MuraliM,#GNFC’s township at #Bharuch in #Gujarat became India’s first cashless township after #Demonetization. #GK
2017-04-22 06:05:29+00:00,kborlikar,Line for #Aadhar is worse than #Demonetization .. standing for hours! Not enough centres! Why the compulsion. @PMOIndia @arunjaitley
2017-04-21 21:49:47+00:00,subho65,Will income #tax collection go up or down as a result of #demonetization? Numbers this year &amp; the next will make for interesting reading.
2017-04-21 03:15:19+00:00,kudva,"This govt seems intent on queuing. For #demonetization last year, for #aadhar now. I know what I am doing when I #QueueUpFor2019"
2017-04-20 17:17:28+00:00,DKMahant,"Equipped to be a digital nation? @FinMinIndia @RBI are SILENT in telling us how much was in circulation, how much returned? #demonetization"
2017-04-20 15:02:38+00:00,sunayanaroy,"We are picking up cash from banks, using cheques because withdrawal slips are not always an option. #demonetization is going on for so long."
2017-04-20 15:00:53+00:00,sunayanaroy,Are you able to use ATMs at will? We haven't been able to in #Bangalore ever since #demonetization. Curious about elsewhere.
2017-04-20 12:14:26+00:00,muglikar_,"Ughhh new spin in the market: #demonetization did not result in crash in real estate prices. 

Utha le re deva."
2017-04-20 09:46:30+00:00,bansal_dhanraj,Like #demonetization now #EveryoneVIPinNewIndia / end of red beacon is another step which many have to praise though they may not like it
2017-04-19 13:16:21+00:00,Mr_MuraliM,#GNFC’s township at #Bharuch in #Gujarat became India’s first cashless township after #Demonetization. #GK
2017-04-19 05:22:53+00:00,voolsy,"Maximum Voolsy order payments are done online since #demonetization
#DigitalistIndia #Voolsy"
2017-04-18 17:35:35+00:00,SpencerKarter,#YouTube's #AdvertiserFriendly #Demonetization aka #YouTubeCensorship is STILL #BadForBusiness! #YouTubeFAIL #GoogleFAIL #EpicFAIL
2017-04-18 16:57:26+00:00,amit_2912,"Dear @narendramodi ji &amp; @myogiadityanath ji,I m a banker, felt much pressure in #demonetization got overtime but our guards haven't got OT."
2017-04-18 14:39:46+00:00,glassmanamanda,"#UBI need not be 0 sum game if tax compliance grows, #demonetization works - cld be feasible to inc expenditure @arvindsubraman #CGDTAlks"
2017-04-18 14:07:48+00:00,glassmanamanda,#India #demonetization - how could effects on poor have been attenuated asks @AnnieLowrey to @arvindsubraman #CGDTalks
2017-04-18 10:20:06+00:00,arkaytimes,Vijay Mallya arrested. Scotland Yard takes credit. But we all know it was Sherlock Holmes. Now put all his cash in our ATMs. #demonetization
2017-04-18 09:07:48+00:00,vfscap,#Demonetization impact was higher for micro finance institutions because of their higher reliance on cash.
2017-04-18 07:57:23+00:00,Now_Abhi82,#Achedin #Jumlalogic #Demonetization Did you notice ATM's are running out of cash? Hmmm...where is the money going?
2017-04-18 05:26:20+00:00,niharmehta,"30min to issue my annual railway pass. @narendramodi Jee, guess govt staff shld hv been trained to operate c/d mchns bfore #demonetization."
2017-04-18 02:41:10+00:00,kingchiru15,"It's been 5 months after the #demonetization announcement, why still the fucking ATMs aren't working? What is the reason?"
2017-04-17 16:56:19+00:00,Phronesis_inc,"As #India’s #wholesale #price #index falls steeply last month, is it the aftermath of #demonetization or merely a seasonal effect? #economy"
2017-04-17 15:09:00+00:00,camishravikas,Income Tax department will investigate over 60k individuals under the second phase of the 'Operation Clean Money'  #demonetization.
2017-04-17 13:42:03+00:00,eccentricfaizan,6 months after the #demonetization the ATMs still run dry 😥😥
2017-04-17 09:15:03+00:00,GreySasquatch,"all those who forwarded you messages on WA that Realty rates will fall down due to #demonetization 
Slap them with Ready Reckoner 2017 book"
2017-04-17 03:13:51+00:00,pradeep211,I was told that stone pelting in Kashmir had stopped due to demonetization! #DeMonetisation #Demonetization
2017-04-16 17:38:43+00:00,gisurg,"Wish to know the expenses of Modi road show at surat done by whom?

How was 500 cr hospital built?
Was it all white money ??#demonetization"
2017-04-16 15:38:01+00:00,steve_hanke,ATMs across #India running out of cash once again after withdrawal restrictions were loosened. And Modi still claims #demonetization victory
2017-04-16 15:12:50+00:00,SpencerKarter,In protest over #YouTube's #AdsenseGate aka #Demonetization and other issues. I've started to #BoycottYouTube once again. #SaveYouTube
2017-04-16 11:06:43+00:00,jotbir,"Dear @evanspiegel @Snapchat 
India is so #rich that PM #Modi had to implement #demonetization to find out who is actually poor!"
2017-04-16 10:04:44+00:00,itsRahulPatil,"Dear #Snapchat, #India is so Rich that our #PMmodi applied #demonetization to find out who is actually #Poor.
#boycottsnapchat #snapchatceo"
2017-04-15 18:41:34+00:00,AmiteshK01,"3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in Hawala trade"
2017-04-14 18:29:49+00:00,dravikalp,"How come now, many days after #demonetization , #SBI #ATM don't have money... ? Continuously returning back blank last two days..."
2017-04-14 18:03:23+00:00,KiranKS,"Operation Clean Money: 60,000 people been identified for investigation into claims of excessive cash sales during #demonetization period."
2017-04-13 20:49:45+00:00,azomer,"Lessons for other countries? Print the bills before! ""Baffled"" by the level of implementation - #demonetization in #India @JPAL_Global"
2017-04-13 20:45:45+00:00,azomer,Interpretation of the evidence: bad economics was probably good politics - #demonetization in #India @JPAL_Global @MITEcon @MIT_SHASS
