,Date,User,Tweet
0,2015-04-29 21:29:45+00:00,SATAVRAJEEV,"#PM talks about '#MakeInIndia , who contributes more than farmers in 'Make In India'? :#Rahul Gandhi."
1,2015-04-29 19:33:12+00:00,rahul_sinha,So #MakeInIndia is against farmers !! Well done @INCIndia !! Pray explain why after 60 years farmers are still poor. #moronic
2,2015-04-29 19:24:39+00:00,rai_abhinav,First the #congress never did anything good for India in 60 yrs and now they won't lets others do good too...Alteast support #MakeInIndia
3,2015-04-29 18:48:34+00:00,umakantsingh_IN,#Farmers contributions more..more.. bigger than 1000 #MakeInIndia! Is #RahulReturns on wrong tracks? #Nagpur #LokSabha #RGPunjabVisit
4,2015-04-29 18:40:08+00:00,decorb2bmarket,Here you can find best candle decorative &amp; crafts items manufacturers &amp; suppliers from india #MakeInIndia @Dial4trade
5,2015-04-29 18:39:57+00:00,soumikdas,"Issue: Land ordinance bill and farmer suicide all over India.@BJP4India reply: Where was Rahul Gandhi and farmers r coward.#MakeInIndia"
6,2015-04-29 18:32:15+00:00,Truth_of_WB,GOI Promoting #MakeInIndia and BJP calling a #Bandh leading to loss of manday. #Bengal standa united and says #NoToBandh
7,2015-04-29 18:28:42+00:00,_nitinyadav_,"A rare instance: I agree with #RahulGandhi that Make In India is not a complete programme

#MakeInIndia #RGCornersGovt #RGPunjabVisit #Modi"
8,2015-04-29 18:19:47+00:00,darshnaad,I wonder if RaGa would look at grapes in Nagpur and say these were melons that became small because of Modi's #MakeInIndia
9,2015-04-29 17:54:18+00:00,Qwrklicios,Hey #presstitutes going ga ga over #RaGa remark on #MakeInIndia - Wud u rather have India nt having a manufacturing sector?
10,2015-04-29 17:25:28+00:00,altafinamdar,GOI &amp; State govts should provide better prices for the farmers crop....Farmer is doing #MakeInIndia #SaveTheFarmer @JhaSanjay
11,2015-04-29 17:12:21+00:00,pallavvjain,"britain, france canada  US every one is looking at India for investment... 
this is our turn to put dem in que...
#MakeInIndia"
12,2015-04-29 17:05:02+00:00,Pankaj_NaMo,"Does Pappu knows, he is not #MakeinIndia product"
13,2015-04-29 16:47:41+00:00,bharpnav,Unfortunately Pappu hs not understood aim behind #MakeInIndia of @PMOIndia n ranting abt KISAN KISAN KISAN @indiatvnews @sudhirchaudhary
14,2015-04-29 16:10:01+00:00,shikherjandyal,"Pm @David_Cameron supports India in her #MakeInIndia initiative by helping in developing own jets... Your gesture is welcomed 
#MakeInIndia"
15,2015-04-29 15:54:53+00:00,chandra_b21,#RahulGandhi says no #MakeInIndia everybody should go back to farming
16,2015-04-29 15:53:19+00:00,krishnavashisth,"The #farmers of India definitely are pioneers of #MakeInIndia &amp; will always be vital part of #Progressive #India
@makeinindia"
17,2015-04-29 15:49:50+00:00,indiapranav1,"PM Modi visit 15 countries in 45 days for #MakeInIndia Nuclear,Uranium Deal
Rahul Gandhi was on 56 days for #Bangkok Mauj,Masti &amp; Aaayashi"
18,2015-04-29 15:38:29+00:00,komall113,"First #MakeIndia, then #MakeInIndia."
19,2015-04-29 15:36:16+00:00,Fans_Bharat,Farmers subsidize Industries but Industrialists don't come forward when farmers commit suicide. #MakeInIndia only for Industries? @PMOIndia
20,2015-04-29 14:48:55+00:00,ganeshmahnar,"PM Narendra Modi gave us #MakeInIndia  

where as 

Rahul Gandhi UPA gave us #ScamIndia"
21,2015-04-29 14:38:29+00:00,Mahabali_Rudra,Idiot #TubeLightRG doesnt know modiji is talking abt reducing imports &amp; making stuff in india which z being imported at present #MakeInIndia
22,2015-04-29 14:21:01+00:00,rahul007sarkar,"Comparing Farmers Issue with #MakeInIndia campaign? 
Gosh Real Dumb #RahulGandhi"
23,2015-04-29 14:02:50+00:00,iAtulB,"Criticizers of #MakeInIndia are those people who follow Gandhiji who said ""Swadeshi Apanao!""."
24,2015-04-29 13:23:03+00:00,CNBCTV18News,Govt increases industrial license validity for defence sector to 7 years. Boost for #MakeInIndia? Share your thoughts with #IBHLive
25,2015-04-29 13:14:37+00:00,blunt_comment,"U realize the big change around you, when @LinkedIn refers your office boy as possible connection. #AchcheDin #MakeInIndia #AspiringIndians"
