,Date,User,Tweet
0,2016-06-29 17:59:11+00:00,_Sparks_Of_,I can either drag myself to sustain the change or buck up and start making changes I wish to see. #motivationalquotes #startupindia
1,2016-06-29 14:45:33+00:00,ranjeetmehta,Creativity comes fm challenges nt from smooth  sailing #StartupScaleup #startupindia #innovation #creativity #NeverQuit #StartupSpectacular
2,2016-06-29 14:09:00+00:00,rhtjain90,When the going gets tough then the tough startup gets going #thoughtleaders #startup #ThoughtsBecomeThings #quoteoftheday #startupindia
3,2016-06-29 08:00:24+00:00,BurntPages_IN,"Hi @signals, it looks like you are not doing well as your last tweet was 1 month ago #India #StartupIndia"
4,2016-06-29 07:28:45+00:00,Flatpebblecom,How #7thPayCommission is going to effect the #privatesector #employees? #startupindia
5,2016-06-29 07:02:09+00:00,sajjujain,"As much as we talk about #StartupIndia  and #SkillIndia, we need to talk as much about #SMEIndia. They create majority of India's #jobs."
6,2016-06-29 05:39:34+00:00,Agupta1509,"People who put you in difficult situations are your Best mentor's.
Demand more from them!
#startup #StartupScaleup #startupindia"
7,2016-06-29 01:07:46+00:00,whatsyourstowry,‘Be Passionate about the Problem’ #interview #Ram Ramdas Founder of #Herald Logic #startup #startupindia #entrepreneur #SalesEnablement
8,2016-06-28 23:11:26+00:00,muralitoday,#PMSpeaksToArnab Awesome analogy how #SwachhBharat helps poor people and #StartupIndia #startupindia helps middle class India grow
9,2016-06-28 19:32:58+00:00,anshul_dave,"Difficulties mastered are #opportunities won - Winston Churchill
#leadership #startups #StartUpIndia"
10,2016-06-28 16:09:36+00:00,Letscontree,RT startupindia: (3/3) #Grandchallenge for Startups in Startup India National fest! Stay tuned to know more!! #startupindia nsitharaman fol…
11,2016-06-28 16:09:36+00:00,Letscontree,RT startupindia: (2/3) DIPPGOI to invite innovative ideas by Startups to solve critical problems faced by its dept #startupIndia nsitharama…
12,2016-06-28 12:27:57+00:00,AfMalhotra,One upside #brexit =opportunity to cement ties with #india #startupindia @SadiqKhan @RussShaw1 @MayorofLondon @bdoaccountant @GrowthEnabler
13,2016-06-28 11:06:01+00:00,startupindia,(3/3) #Grandchallenge for Startups in Startup India National fest! Stay tuned to know more!! #startupindia @nsitharaman
14,2016-06-28 11:05:14+00:00,startupindia,(2/3) @DIPPGOI to invite innovative ideas by Startups to solve critical problems faced by its dept #startupIndia @nsitharaman @rabhishek1982
15,2016-06-28 10:49:24+00:00,aravinda3101,"#startupindia we help out Startups in their business Strategy, innovations, Design thinking, Business intelligence, HR, Exec.Hiring"
16,2016-06-28 10:07:51+00:00,NicksonSharma2,#AmitabhKant Lets not get obsess with domestic market #YoungTurks15 #MakeinIndia #StartupIndia
17,2016-06-28 08:05:15+00:00,JoyfulVinod,"Don't burn salaries. Be fair, moderate and reasonable. Good tip for a Start up.
#startupIndia #entrepreneur"
18,2016-06-28 06:14:02+00:00,dared2say,Meanwhile in today's environment it's very tough to get funds withoud being derailev from your #Startup Vision and mission #StartupIndia
19,2016-06-28 04:53:07+00:00,foundit_India,"""It won’t be a winner-takes-all market for Indian startups""- @nikesharorahttp://ow.ly/ROWg301HC5C #StartUpIndia #MakeIndiaWork"
20,2016-06-28 03:08:04+00:00,ranjeetmehta,DIPP initiative to connect @startups with other Govt deptt is great effort n will encourage @StartupMDI #startupindia @startlead
21,2016-06-28 02:30:59+00:00,whoisadi,Excited for the @CNBCTV18Live Young Turks Summit today at @HyattRegencyDel #YT15  #YoungTurks15 #StartupIndia
22,2016-06-28 01:05:09+00:00,whatsyourstowry,‘Be Passionate about the Problem’ #interview #Ram Ramdas Founder of #Herald Logic #startup #startupindia #entrepreneur #SalesEnablement
23,2016-06-27 17:38:52+00:00,srirambjp,"#StartupIndia, #StandUpIndia, are meant for the middle class, job creation for youth is key priority: PM @narendramodi 

#PMSpeaksToArnab"
24,2016-06-27 16:54:33+00:00,Letscontree,"RT startupindia: Growth on the agenda.Secretary,DIPP rabhishek1982 &amp; JS,DIPP visit nasscom's accelerator in Bengaluru.#startupindia …"
25,2016-06-27 15:59:55+00:00,BusinessTweets_,"Post clearance from #SEBI, @TheJSWGroup to invest Rs100 crore in early-stage companies over a three-year period. #techstartups #StartupIndia"
26,2016-06-27 15:35:41+00:00,BusinessTweets_,"Top 5 most funded #Indian #startup cities.
1. #DelhiNCR
2. #Bengaluru
3. #Mumbai
4. #Pune
5. #Hyderabad 
@Tracxn #funding #StartupIndia"
27,2016-06-27 13:10:18+00:00,Pm7CA,"Initiatives such as #StartupIndia, #StandUpIndia, port activity are meant for the middle class, job creation for youth is key priority: PM"
