,Date,User,Tweet
0,2015-03-30 18:15:49+00:00,ChawlaLfc,Sadly dustbin is the cleanest place in India  #SwachhBharat
1,2015-03-30 18:03:44+00:00,KaeinKare,"people follow celebrity's life style and fashion, not social work they do. As a result, you might satisfied with #SwachhBharat Abhiyan."
2,2015-03-30 17:37:50+00:00,PplOfIndia,"Modi ji declared #SwachhBharat abhiyaan, but BJP-controlled MCD spreads filth on Delhi streets! #AAP volunteers clean the streets!"
3,2015-03-30 15:23:59+00:00,abhishek__ag,there should be at least one dustbin per kilometer to achieve #SwachhBharat @PMOIndia
4,2015-03-30 14:46:49+00:00,thesagarjain,"Garbage garbage everywhere, not a single space to walk. Delhi is in dirt. Seems #swachhbharat  is just a joke. #AAPismute #attentionPM #joke"
5,2015-03-30 14:41:52+00:00,umakantsingh_IN,It's discounting of #SwachhBharat if National Capital is littered with garbage!Aam Aadmi is the worst sufferer! #AAPWar #WarInAAP #BroomWar
6,2015-03-30 13:28:54+00:00,padamskafle,#swachhbharat @PMOIndia what is going on Delhi? Your MCD is making gandha Bharat.. Please control your MCD first..
7,2015-03-30 08:14:40+00:00,Ranjankj,Let all BJP leaders led by @narendramodi join #SwachhBharat to clear the garbage from East Delhi roads! Photo sessions wl be organized too!
8,2015-03-30 05:12:18+00:00,Kailashkher,Sharing the next set of nominations for my #SwachhBharat campaign shortly! @PMOIndia Stay Tuned
9,2015-03-30 04:31:36+00:00,niladripaul,MCD workers making mockery of Swachh Bharat !!! #swachhbharat
10,2015-03-30 03:05:23+00:00,RakeshMalhotra,"Companies like Yum! Restaurants India, #SAP, Makemytrip, Coca-Cola take up broom for #SwachhBharat"
11,2015-03-29 15:49:53+00:00,microrao,"Wherever I look, I see garbage.
#Bangalore #Bengaluru #SwachhBharat"
12,2015-03-29 15:40:34+00:00,microrao,Somehow #Modi govt is more interested in getting streets cleaned. I insist we must reduce generation of trash/garbage. #swachhbharat
13,2015-03-29 10:15:05+00:00,MathewLiz,Roadsides in East Delhi show what a failure the much hyped #swachhbharat campaign has. become! But BJP-AAP blame game is on as expected!
14,2015-03-29 09:27:32+00:00,microrao,In 75-100 years from now 25-30% of people will acknowledge the concept of #SwachhBharat. It will take another century to implement it.
15,2015-03-29 09:24:53+00:00,microrao,#SwachhBharat is a dream.......a big one!!!
16,2015-03-29 09:01:09+00:00,iPankajS,Govt hasn't paid sweepers for months. They're on strike spreading garbage across roads in delhi. #SwachhBharat
17,2015-03-29 04:48:08+00:00,alok_bhatt,"If u analyse,only private initiatives like #MissionPrabhughat or that of @JodieUnderhill are working towards #SwachhBharat - not govts"
18,2015-03-29 02:58:12+00:00,a_narain,Hopefully @narendramodi will take cleanliness &amp; discipline from Singapore. #LKY #SwachhBharat
19,2015-03-28 15:42:33+00:00,AninBanerjee,"Away from d din, chaos of Lutyens pol, few gentle soul like @temsutulaimsong r quietly cleaning #vanaras #ghats. Se after de. #SwachhBharat"
20,2015-03-28 12:39:24+00:00,pant_gaurav22,AAP has made Delhi politics dirtier #AAPKaSting ! Call for #SwachhBharat !!!..Missing those times when Delhi was under Prez rule !
